b1,b2,b3,b4,b5,b6,b7,col,row
-57.0,-50.0,-60.0,-52.0,-53.0,-57.0,-53.0,6,1
-57.0,-52.0,-60.0,-52.0,-52.0,-58.0,-53.0,6,1
-57.0,-52.0,-60.0,-51.0,-53.0,-58.0,-51.0,6,1
-57.0,-52.0,-60.0,-51.0,-53.0,-59.0,-53.0,6,1
-57.0,-53.0,-59.0,-51.0,-53.0,-59.0,-53.0,6,1
-54.0,-52.0,-60.0,-53.0,-53.0,-59.0,-51.0,6,1
-57.0,-51.0,-60.0,-52.0,-53.0,-56.0,-51.0,6,1
-57.0,-51.0,-60.0,-51.0,-51.0,-56.0,-54.0,6,1
-56.0,-51.0,-60.0,-51.0,-50.0,-59.0,-53.0,6,1
-57.0,-53.0,-60.0,-51.0,-52.0,-58.0,-50.0,6,1
-57.0,-53.0,-60.0,-52.0,-53.0,-59.0,-52.0,6,1
-57.0,-52.0,-60.0,-52.0,-53.0,-59.0,-50.0,6,1
-57.0,-50.0,-59.0,-52.0,-51.0,-58.0,-51.0,6,1
-56.0,-52.0,-60.0,-52.0,-52.0,-60.0,-55.0,6,1
-55.0,-52.0,-61.0,-52.0,-51.0,-59.0,-53.0,6,1
-55.0,-53.0,-65.0,-56.0,-61.0,-64.0,-53.0,1,2
-55.0,-54.0,-65.0,-56.0,-61.0,-64.0,-53.0,1,2
-54.0,-52.0,-65.0,-57.0,-61.0,-64.0,-51.0,1,2
-57.0,-54.0,-64.0,-52.0,-61.0,-64.0,-53.0,1,2
-55.0,-50.0,-65.0,-52.0,-61.0,-65.0,-53.0,1,2
-57.0,-53.0,-65.0,-56.0,-61.0,-64.0,-54.0,1,2
-57.0,-52.0,-65.0,-51.0,-58.0,-65.0,-54.0,1,2
-56.0,-54.0,-65.0,-55.0,-61.0,-64.0,-53.0,1,2
-56.0,-51.0,-65.0,-51.0,-61.0,-64.0,-53.0,1,2
-57.0,-54.0,-65.0,-51.0,-59.0,-64.0,-54.0,1,2
-56.0,-52.0,-65.0,-51.0,-58.0,-65.0,-54.0,1,2
-54.0,-55.0,-65.0,-54.0,-60.0,-63.0,-53.0,1,2
-57.0,-53.0,-65.0,-55.0,-63.0,-65.0,-53.0,1,2
-57.0,-55.0,-65.0,-57.0,-62.0,-64.0,-54.0,1,2
-56.0,-51.0,-65.0,-52.0,-62.0,-64.0,-53.0,1,2
-54.0,-54.0,-65.0,-56.0,-60.0,-65.0,-52.0,1,2
-50.0,-55.0,-59.0,-56.0,-53.0,-70.0,-48.0,2,2
-49.0,-55.0,-60.0,-55.0,-53.0,-70.0,-48.0,2,2
-49.0,-54.0,-60.0,-55.0,-60.0,-70.0,-48.0,2,2
-48.0,-55.0,-61.0,-55.0,-60.0,-69.0,-48.0,2,2
-47.0,-55.0,-61.0,-55.0,-62.0,-70.0,-47.0,2,2
-50.0,-57.0,-62.0,-55.0,-60.0,-71.0,-47.0,2,2
-50.0,-57.0,-61.0,-54.0,-60.0,-71.0,-48.0,2,2
-50.0,-57.0,-61.0,-54.0,-60.0,-70.0,-50.0,2,2
-48.0,-57.0,-61.0,-55.0,-57.0,-71.0,-48.0,2,2
-50.0,-57.0,-61.0,-55.0,-63.0,-70.0,-48.0,2,2
